run_name,num_conv,filters,use_bn,l2,dropout,augment,lr,batch,loss,best_epoch,best_val_mae,final_val_mae,test_mae,total_epochs,sort_key
20251108-112840_conv4_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,1e-05,0.2,False,0.001,64,mae,63,0.915627419948578,0.978314220905304,0.8111731843575419,79,0.8111731843575419
20251108-125056_conv4_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,1e-05,0.2,True,0.001,64,mae,43,0.9322482943534852,1.580132246017456,0.8156424581005587,59,0.8156424581005587
20251108-112825_conv4_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,1e-05,0.2,False,0.001,64,huber,42,0.9165092706680298,1.1001816987991333,0.8212290502793296,58,0.8212290502793296
20251108-124017_conv4_bn_glorot_l2-1e-05_drop-0.1_lr-0.001,4,"[32, 64, 128, 256]",True,1e-05,0.1,False,0.001,64,mae,57,0.919533908367157,0.9806205630302428,0.8279329608938547,73,0.8279329608938547
20251107-072904_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,0.0001,0.2,False,0.001,64,mae,39,0.9432359933853148,1.0061622858047483,0.8446927374301676,50,0.8446927374301676
20251107-080439_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,0.0001,0.2,False,0.001,64,mae,50,0.9191401600837708,0.9343240857124328,0.852513966480447,66,0.852513966480447
20251107-085916_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,0.0001,0.2,True,0.001,64,mae,48,0.952055275440216,1.233810305595398,0.8558659217877095,64,0.8558659217877095
20251107-124027_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.0005,4,"[32, 64, 128, 256]",True,0.0001,0.2,True,0.0005,64,mae,36,0.9782655835151672,1.4892728328704834,0.8726256983240224,52,0.8726256983240224
20251107-094207_conv4_bn_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[64, 128, 256, 512]",True,0.0001,0.2,True,0.001,64,mae,38,0.9457287788391112,1.4389063119888306,0.8983240223463688,54,0.8983240223463688
20251107-130225_conv4_strided_f32-64-128-256_bn_aug_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[32, 64, 128, 256]",True,0.0001,0.2,True,0.001,64,mae,21,1.0189121961593628,1.393816590309143,0.9206703910614525,37,0.9206703910614525
20251106-105236_conv3_bn_glorot_l2-0.0_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,0.0,0.0,False,0.001,64,mae,35,0.9878787398338318,1.1381479501724243,0.9262569832402234,50,0.9262569832402234
20251106-113131_conv3_bn_glorot_l2-1e-05_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,1e-05,0.0,False,0.001,64,mae,26,1.023513913154602,1.045696496963501,0.9329608938547486,42,0.9329608938547486
20251106-115757_conv3_bn_glorot_l2-0.0001_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,0.0001,0.0,False,0.001,64,mae,42,0.9850913286209106,1.7246582508087158,0.9418994413407821,50,0.9418994413407821
20251106-124201_conv3_bn_glorot_l2-1e-05_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,1e-05,0.0,False,0.001,64,mae,23,1.0282374620437622,1.3253648281097412,0.976536312849162,39,0.976536312849162
20251106-091027_conv3_nobn_glorot_l2-0.0_drop-0.0_lr-0.001,3,"[32, 64, 128]",False,0.0,0.0,False,0.001,64,mae,49,1.1153401136398315,1.1153401136398315,0.9910614525139665,50,0.9910614525139665
20251106-115916_conv3_bn_glorot_l2-0.001_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,0.001,0.0,False,0.001,64,mae,34,1.0413081645965576,1.6033856868743896,0.994413407821229,50,0.994413407821229
20251106-122951_conv3_bn_glorot_l2-0.0_drop-0.0_lr-0.001,3,"[32, 64, 128]",True,0.0,0.0,False,0.001,64,mae,25,1.036768674850464,1.186772346496582,0.9966480446927374,41,0.9966480446927374
20251107-132241_conv4_strided_f64-128-256-512_bn_aug_glorot_l2-0.0001_drop-0.2_lr-0.001,4,"[64, 128, 256, 512]",True,0.0001,0.2,True,0.001,64,mae,14,1.0855810642242432,1.0902118682861328,1.0022346368715085,30,1.0022346368715085
20251108-104218_conv3_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,3,"[32, 64, 128]",True,1e-05,0.2,False,0.001,64,mae,42,1.0568139553070068,1.0705993175506592,1.0145251396648045,58,1.0145251396648045
20251106-091119_conv3_nobn_randn_l2-0.0_drop-0.0_lr-0.001,3,"[32, 64, 128]",False,0.0,0.0,False,0.001,64,mae,47,1.106736421585083,1.1312925815582275,1.0167597765363128,50,1.0167597765363128
20251108-105550_conv3_bn_glorot_l2-1e-05_drop-0.2_lr-0.001,3,"[32, 64, 128]",True,1e-05,0.2,False,0.001,64,huber,19,1.1412080526351929,2.6312923431396484,1.0581005586592178,35,1.0581005586592178
20251107-070343_conv3_bn_glorot_l2-0.0001_drop-0.3_lr-0.001,3,"[32, 64, 128]",True,0.0001,0.3,False,0.001,64,mae,27,1.1904116868972778,1.9606136083602903,1.1195530726256984,43,1.1195530726256984
